Date,cours
2/5/2017,1376.41
3/5/2017,1385.32
4/5/2017,1378.04
5/5/2017,1407.38
6/5/2017,1418.82
7/5/2017,1513.65
8/5/2017,1572.26
9/5/2017,1634.72
10/5/2017,1690.57
11/5/2017,1557.8
12/5/2017,1637.8
13/5/2017,1641.25
14/5/2017,1598.45
15/5/2017,1604.2
16/5/2017,1648.68
17/5/2017,1704.02
18/5/2017,1751.84
19/5/2017,1805.73
20/5/2017,1803.6
21/5/2017,1858.53
22/5/2017,1995.49
23/5/2017,2124.19
24/5/2017,1998.17
25/5/2017,1986.17
26/5/2017,1800.97
27/5/2017,1902.86
28/5/2017,2043.19
29/5/2017,1923.75
30/5/2017,2051.72
31/5/2017,2132.19
1/6/2017,2220.76
2/6/2017,2269.98
3/6/2017,2246.48
4/6/2017,2392.58
5/6/2017,2553.86
6/6/2017,2411.65
7/6/2017,2506.41
8/6/2017,2534.67
9/6/2017,2522.92
10/6/2017,2607.78
11/6/2017,2337.44
12/6/2017,2405.65
13/6/2017,2206.71
14/6/2017,2166.59
15/6/2017,2218.27
16/6/2017,2356.5
17/6/2017,2231.08
18/6/2017,2293.28
19/6/2017,2440.94
20/6/2017,2365.3
21/6/2017,2399.69
22/6/2017,2404.03
23/6/2017,2288.28
24/6/2017,2224.37
25/6/2017,2142.36
26/6/2017,2226.8
27/6/2017,2248.93
28/6/2017,2217.44
29/6/2017,2147.76
30/6/2017,2109.41
1/7/2017,2201.95
2/7/2017,2249.87
3/7/2017,2292.74
4/7/2017,2296.27
5/7/2017,2288.03
6/7/2017,2203.83
7/7/2017,2244.06
8/7/2017,2206.51
9/7/2017,2052.97
10/7/2017,2022.15
11/7/2017,2090.75
12/7/2017,2053.46
13/7/2017,1940.75
14/7/2017,1725.15
15/7/2017,1670.64
16/7/2017,1934.48
17/7/2017,2011.31
18/7/2017,1968.05
19/7/2017,2436.04
20/7/2017,2295.68
21/7/2017,2424.4
22/7/2017,2363.29
23/7/2017,2378.55
24/7/2017,2214.34
25/7/2017,2184.32
26/7/2017,2294.55
27/7/2017,2381.08
28/7/2017,2318.37
29/7/2017,2369.13
30/7/2017,2467.06
31/7/2017,2328.56
1/8/2017,2283.06
2/8/2017,2373.92
3/8/2017,2431.35
4/8/2017,2759.23
5/8/2017,2734.11
6/8/2017,2874.39
7/8/2017,2925.29
8/8/2017,2869.25
9/8/2017,2916.3
10/8/2017,3110.91
11/8/2017,3289.21
12/8/2017,3458.17
13/8/2017,3681.48
14/8/2017,3546.95
15/8/2017,3733.59
16/8/2017,3646.62
17/8/2017,3530.94
18/8/2017,3555.68
19/8/2017,3485.58
20/8/2017,3406.71
21/8/2017,3500.83
22/8/2017,3541.95
23/8/2017,3686.73
24/8/2017,3681.86
25/8/2017,3663.49
26/8/2017,3644.45
27/8/2017,3671.02
28/8/2017,3820.26
29/8/2017,3839.76
30/8/2017,3983.95
31/8/2017,4145.42
1/9/2017,3893.78
2/9/2017,3924.31
3/9/2017,3672.46
4/9/2017,3780.82
5/9/2017,3912.34
6/9/2017,3883.01
7/9/2017,3662.21
8/9/2017,3635.77
9/9/2017,3578.29
10/9/2017,3544.73
11/9/2017,3492.99
12/9/2017,3250.09
13/9/2017,2735.87
14/9/2017,3157.37
15/9/2017,3125.83
16/9/2017,3112.56
17/9/2017,3454.42
18/9/2017,3274.26
19/9/2017,3264.22
20/9/2017,3045.85
21/9/2017,3055.18
22/9/2017,3182.26
23/9/2017,3093.01
24/9/2017,3316.26
25/9/2017,3284.23
26/9/2017,3570.58
27/9/2017,3547.04
28/9/2017,3517.27
29/9/2017,3666.89
30/9/2017,3697.62
1/10/2017,3743.93
2/10/2017,3678.23
3/10/2017,3600.86
4/10/2017,3682.08
5/10/2017,3707.64
6/10/2017,3767.68
7/10/2017,3883.93
8/10/2017,4046.34
9/10/2017,4022.61
10/10/2017,4061.99
11/10/2017,4546.49
12/10/2017,4746.28
13/10/2017,4884.29
14/10/2017,4780.31
15/10/2017,4858.88
16/10/2017,4758.56
17/10/2017,4754.53
18/10/2017,4808.71
19/10/2017,5065.72
20/10/2017,5127.37
21/10/2017,5100.86
22/10/2017,5006.49
23/10/2017,4754.15
24/10/2017,4895.13
25/10/2017,5071.09
26/10/2017,5004.47
27/10/2017,4975.19
28/10/2017,5275.75
29/10/2017,6171.206
30/10/2017,5288.64
31/10/2017,5540.38
1/11/2017,5870.89
2/11/2017,6077.35
3/11/2017,6248.98
4/11/2017,6384.05
5/11/2017,6415.64
6/11/2017,6048.21
7/11/2017,6178.49
8/11/2017,6479.81
9/11/2017,6191.79
10/11/2017,5710.94
11/11/2017,5487.15
12/11/2017,5079.19
13/11/2017,5662.26
14/11/2017,5680.15
15/11/2017,6253.78
16/11/2017,6645.07
17/11/2017,6560.64
18/11/2017,6602.55
19/11/2017,6793.29
20/11/2017,7001.29
21/11/2017,6930.79
22/11/2017,7010.18
23/11/2017,6811.82
24/11/2017,6909.83
25/11/2017,7273.52
26/11/2017,7699.62
27/11/2017,8107.03
28/11/2017,8311.49
29/11/2017,8438.79
30/11/2017,8564.24
1/12/2017,9176.17
2/12/2017,9250.96
3/12/2017,9513.85
4/12/2017,9755.3
5/12/2017,9942.29
6/12/2017,11795.53
7/12/2017,15046.27
8/12/2017,13503.35
9/12/2017,12697.71
10/12/2017,12669.29
11/12/2017,13863.96
12/12/2017,14196.48
13/12/2017,13651.18
14/12/2017,13832.48
15/12/2017,14879.76
16/12/2017,16376.3
17/12/2017,15992.81
18/12/2017,15992.44
19/12/2017,14992.29
20/12/2017,13961.36
21/12/2017,13009.24
22/12/2017,11867.06
23/12/2017,12503.76
24/12/2017,11887.31
25/12/2017,11733.82
26/12/2017,13259.28
27/12/2017,13087.45
28/12/2017,12264.02
29/12/2017,12247.68
30/12/2017,10654.4
31/12/2017,11850.31
1/1/2018,11391.39
2/1/2018,12319.79
3/1/2018,12786.04
4/1/2018,12725.41
5/1/2018,14183.3
6/1/2018,14338.58
7/1/2018,13490.26
8/1/2018,12618.13
9/1/2018,12125.31
10/1/2018,12427.96
11/1/2018,11144.19
12/1/2018,11497.98
13/1/2018,11797.41
14/1/2018,11300.22
15/1/2018,11192.51
16/1/2018,9306.21
17/1/2018,9206.16
18/1/2018,9325.4
19/1/2018,9555.89
20/1/2018,10538.09
21/1/2018,9522.45
22/1/2018,8869.76
23/1/2018,8838.04
24/1/2018,9231.54
25/1/2018,9011.81
26/1/2018,8976.46
27/1/2018,9190.63
28/1/2018,9401.97
29/1/2018,9030.15
30/1/2018,8097.68
31/1/2018,8153.29
1/2/2018,7179.62
2/2/2018,7097.12
3/2/2018,7424.29
4/2/2018,6544.21
5/2/2018,5480.88
6/2/2018,6207.05
7/2/2018,6177.36
8/2/2018,6755.16
9/2/2018,7085.01
10/2/2018,7004.35
11/2/2018,6606.51
12/2/2018,7238.94
13/2/2018,6921.73
14/2/2018,7634.42
15/2/2018,8061.63
16/2/2018,8219.99
17/2/2018,8970.39
18/2/2018,8422.68
19/2/2018,9025.14
20/2/2018,9127.06
21/2/2018,8520.17
22/2/2018,7984.35
23/2/2018,8271.31
24/2/2018,7888.1
25/2/2018,7795.73
26/2/2018,8371.54
27/2/2018,8632
28/2/2018,8449.99
1/3/2018,8871.24
2/3/2018,8948.98
3/3/2018,9240.26
4/3/2018,9297.45
5/3/2018,9261.72
6/3/2018,8635.62
7/3/2018,8017.75
8/3/2018,7551
9/3/2018,7526.65
10/3/2018,7140.62
11/3/2018,7748.46
12/3/2018,7409.44
13/3/2018,7402.44
14/3/2018,6632.47
